time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2019-06-03T19:49:45.813Z,-24.1143,-66.9982,181.74,4.2,mb,,120,1.585,0.79,us,us70003ux8,2019-06-13T20:55:58.040Z,"69km W of San Antonio de los Cobres, Argentina",earthquake,10.3,9.9,0.374,2,reviewed,us,us
2019-06-03T08:42:12.461Z,-19.6837,-70.4952,47.38,5.2,mww,,82,0.676,0.89,us,us70003uny,2019-07-03T10:00:09.040Z,"69km NNW of Iquique, Chile",earthquake,5.2,4.3,0.073,18,reviewed,us,us
2019-06-03T06:49:31.503Z,-23.7285,-67.1885,192.87,4.3,mb,,69,1.194,1.22,us,us70003un5,2019-07-02T07:43:20.040Z,"103km WNW of San Antonio de los Cobres, Argentina",earthquake,9,10.3,0.168,10,reviewed,us,us
2019-06-03T04:22:25.688Z,-32.7159,-71.4048,58.29,4.8,mwr,,65,0.178,0.74,us,us70003ul8,2019-07-08T20:56:25.040Z,"19km WNW of Hacienda La Calera, Chile",earthquake,4.1,3.6,0.046,46,reviewed,us,us
2019-06-03T02:34:35.221Z,-34.9977,-72.5466,32.85,3.7,ml,,105,1.197,0.88,us,us70003uk3,2019-07-09T21:44:06.040Z,"39km NNW of Constitucion, Chile",earthquake,4.4,15.7,0.051,50,reviewed,us,us
2019-06-02T19:49:29.077Z,-32.1312,-71.8175,26.67,4.3,mwr,,112,0.614,0.84,us,us70003uh4,2019-07-13T19:00:39.040Z,"65km WNW of La Ligua, Chile",earthquake,5.2,4,0.037,71,reviewed,us,us
2019-06-02T16:11:17.019Z,-17.5411,-70.6748,121.42,4.1,mb,,128,0.883,1.11,us,us70003ufu,2019-06-10T20:05:37.040Z,"21km SW of Ilabaya, Peru",earthquake,9.9,10.1,0.213,6,reviewed,us,us
2019-06-02T03:21:16.978Z,-23.668,-69.3581,94.93,4.2,mwr,,65,0.977,1.12,us,us70003uah,2019-07-09T23:21:09.040Z,"106km E of Antofagasta, Chile",earthquake,5.1,5.8,0.098,10,reviewed,us,us
2019-06-01T10:59:42.146Z,-29.6954,-71.3709,46.48,4.4,mb,,133,0.25,0.73,us,us70003u3m,2019-07-10T05:33:16.040Z,"26km NNW of La Serena, Chile",earthquake,4.6,6.8,0.098,30,reviewed,us,us
2019-05-31T12:22:22.001Z,-47.5312,-75.4752,10,4.6,mwr,,141,1.979,0.8,us,us70003tn8,2019-06-07T10:20:55.040Z,"221km W of Cochrane, Chile",earthquake,8.6,1.9,,,reviewed,us,guc
2019-05-31T07:25:09.790Z,-18.6753,-69.3507,120.16,4.8,mb,,83,0.369,0.57,us,us70003tk2,2019-06-21T12:41:36.040Z,"57km SSE of Putre, Chile",earthquake,5.7,5.1,0.072,59,reviewed,us,us
2019-05-30T03:34:56.841Z,-23.4265,-68.8672,98.05,4.9,mwr,,37,0.79,0.77,us,us70003t0w,2019-06-28T02:35:51.105Z,"87km SW of San Pedro de Atacama, Chile",earthquake,4.8,3.3,0.048,41,reviewed,us,us
2019-05-29T13:00:53.142Z,-21.1728,-68.6812,113.57,4.4,mb,,62,0.763,0.86,us,us60003tkg,2019-06-19T05:53:29.040Z,"145km N of Calama, Chile",earthquake,4.7,7.1,0.17,10,reviewed,us,us
2019-05-29T04:11:07.502Z,-17.7789,-69.7015,151.09,4.2,mb,,83,0.283,0.78,us,us60003tgj,2019-07-03T01:25:54.040Z,"48km SE of Tarata, Peru",earthquake,7.4,5.3,0.136,15,reviewed,us,us
2019-05-27T21:56:15.904Z,-30.6521,-71.6544,26.76,4.4,mb,,178,0.027,0.76,us,us60003su9,2019-06-05T21:49:09.040Z,"43km W of Ovalle, Chile",earthquake,2.8,7.3,0.24,5,reviewed,us,us
